id,hs_all_accessible_team_ids,hs_all_assigned_business_unit_ids,hs_all_owner_ids,hs_all_team_ids,hs_at_mentioned_owner_ids,hs_attachment_ids,hs_body_preview,hs_body_preview_html,hs_body_preview_is_truncated,hs_communication_body,hs_communication_channel_type,hs_communication_conversation_associations_synced_at,hs_communication_conversation_object_id,hs_communication_conversations_channel_ids,hs_communication_conversations_channel_instance_ids,hs_communication_conversations_first_message_at,hs_communication_conversations_thread_id,hs_communication_logged_from,hs_created_by,hs_created_by_user_id,hs_createdate,hs_engagement_source,hs_engagement_source_id,hs_engagements_last_contacted,hs_gdpr_deleted,hs_lastmodifieddate,hs_merged_object_ids,hs_modified_by,hs_obj_coords,hs_object_id,hs_object_source,hs_object_source_detail_1,hs_object_source_detail_2,hs_object_source_detail_3,hs_object_source_id,hs_object_source_label,hs_object_source_user_id,hs_owning_teams,hs_read_only,hs_shared_team_ids,hs_shared_user_ids,hs_timestamp,hs_unique_creation_key,hs_unique_id,hs_updated_by_user_id,hs_user_ids_of_all_notification_followers,hs_user_ids_of_all_notification_unfollowers,hs_user_ids_of_all_owners,hs_was_imported,hubspot_owner_assigneddate,hubspot_owner_id,hubspot_team_id
81690245758,,,171746480,,,,Send a text message so this has my cell number for when new cottages are for sale Stratford,"<html>
 <head></head>
 <body>
 Send a text message so this has my cell number for when new cottages are for sale Stratford
 </body>
</html>",false,Send a text message so this has my cell number for when new cottages are for sale Stratford,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T21:44:43.364Z,MOBILE_IOS,,2025-06-18T21:44:31.842Z,,2025-06-18T21:44:43.364Z,,65158525,0-18-81690245758,81690245758,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T21:44:31.842Z,,,65158525,,,65158525,,2025-06-18T21:44:43.364Z,171746480,
81690262370,,,171746480,,,,Sent a text to Sean to introduce myself,"<html>
 <head></head>
 <body>
 Sent a text to Sean to introduce myself
 </body>
</html>",false,Sent a text to Sean to introduce myself,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T21:50:36.675Z,MOBILE_IOS,,2025-06-18T21:50:29.059Z,,2025-06-18T21:50:36.675Z,,65158525,0-18-81690262370,81690262370,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T21:50:29.059Z,,,65158525,,,65158525,,2025-06-18T21:50:36.675Z,171746480,
81690279836,,,171746480,,,,Sent an introduction text message,"<html>
 <head></head>
 <body>
 Sent an introduction text message
 </body>
</html>",false,Sent an introduction text message,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T21:57:00.641Z,MOBILE_IOS,,2025-06-18T21:56:54.074Z,,2025-06-18T21:57:00.641Z,,65158525,0-18-81690279836,81690279836,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T21:56:54.074Z,,,65158525,,,65158525,,2025-06-18T21:57:00.641Z,171746480,
81690309035,,,171746480,,,,Sent a welcome text,"<html>
 <head></head>
 <body>
 Sent a welcome text
 </body>
</html>",false,Sent a welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:08:53.556Z,MOBILE_IOS,,2025-06-18T22:08:37.953Z,,2025-06-18T22:08:53.556Z,,65158525,0-18-81690309035,81690309035,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:08:37.953Z,,,65158525,,,65158525,,2025-06-18T22:08:53.556Z,171746480,
81690316054,,,171746480,,,,Sent a welcome text message,"<html>
 <head></head>
 <body>
 Sent a welcome text message
 </body>
</html>",false,Sent a welcome text message,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:11:53.950Z,MOBILE_IOS,,2025-06-18T22:11:45.956Z,,2025-06-18T22:11:53.950Z,,65158525,0-18-81690316054,81690316054,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:11:45.956Z,,,65158525,,,65158525,,2025-06-18T22:11:53.950Z,171746480,
81690322773,,,171746480,,,,Sent a welcome text message to Tim,"<html>
 <head></head>
 <body>
 Sent a welcome text message to Tim
 </body>
</html>",false,Sent a welcome text message to Tim,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:14:50.219Z,MOBILE_IOS,,2025-06-18T22:14:44.255Z,,2025-06-18T22:14:50.219Z,,65158525,0-18-81690322773,81690322773,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:14:44.255Z,,,65158525,,,65158525,,2025-06-18T22:14:50.219Z,171746480,
81691461640,,,171746480,,,,Sent Winston a message,"<html>
 <head></head>
 <body>
 Sent Winston a message
 </body>
</html>",false,Sent Winston a message,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:45:09.292Z,MOBILE_IOS,,2025-06-18T22:45:02.008Z,,2025-06-18T22:45:09.292Z,,65158525,0-18-81691461640,81691461640,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:45:02.008Z,,,65158525,,,65158525,,2025-06-18T22:45:09.292Z,171746480,
81694914412,,,171746480,,,,Saint James are welcome text,"<html>
 <head></head>
 <body>
 Saint James are welcome text
 </body>
</html>",false,Saint James are welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:25:20.169Z,MOBILE_IOS,,2025-06-18T22:25:14.131Z,,2025-06-18T22:25:20.169Z,,65158525,0-18-81694914412,81694914412,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:25:14.131Z,,,65158525,,,65158525,,2025-06-18T22:25:20.169Z,171746480,
81695149993,,,171746480,,,,Sent Ken a welcome text message,"<html>
 <head></head>
 <body>
 Sent Ken a welcome text message
 </body>
</html>",false,Sent Ken a welcome text message,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:05:36.452Z,MOBILE_IOS,,2025-06-18T22:05:28.600Z,,2025-06-18T22:05:36.452Z,,65158525,0-18-81695149993,81695149993,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:05:28.600Z,,,65158525,,,65158525,,2025-06-18T22:05:36.452Z,171746480,
81695186095,,,171746480,,,,Sent a welcome text message,"<html>
 <head></head>
 <body>
 Sent a welcome text message
 </body>
</html>",false,Sent a welcome text message,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:21:38.243Z,MOBILE_IOS,,2025-06-18T22:21:32.580Z,,2025-06-18T22:21:38.243Z,,65158525,0-18-81695186095,81695186095,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:21:32.580Z,,,65158525,,,65158525,,2025-06-18T22:21:38.243Z,171746480,
81695200066,,,171746480,,,,Sent oh welcome text,"<html>
 <head></head>
 <body>
 Sent oh welcome text
 </body>
</html>",false,Sent oh welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:28:05.702Z,MOBILE_IOS,,2025-06-18T22:27:58.543Z,,2025-06-18T22:28:05.702Z,,65158525,0-18-81695200066,81695200066,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:27:58.543Z,,,65158525,,,65158525,,2025-06-18T22:28:05.702Z,171746480,
81695209074,,,171746480,,,,I sent a welcome text,"<html>
 <head></head>
 <body>
 I sent a welcome text
 </body>
</html>",false,I sent a welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:32:16.321Z,MOBILE_IOS,,2025-06-18T22:32:07.452Z,,2025-06-18T22:32:16.321Z,,65158525,0-18-81695209074,81695209074,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:32:07.452Z,,,65158525,,,65158525,,2025-06-18T22:32:16.321Z,171746480,
81695216241,,,171746480,,,,Left Ken a welcome text,"<html>
 <head></head>
 <body>
 Left Ken a welcome text
 </body>
</html>",false,Left Ken a welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:35:58.198Z,MOBILE_IOS,,2025-06-18T22:35:51.698Z,,2025-06-18T22:35:58.198Z,,65158525,0-18-81695216241,81695216241,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:35:51.698Z,,,65158525,,,65158525,,2025-06-18T22:35:58.198Z,171746480,
81695223833,,,171746480,,,,I sent Kimberly a welcome text,"<html>
 <head></head>
 <body>
 I sent Kimberly a welcome text
 </body>
</html>",false,I sent Kimberly a welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-18T22:39:43.192Z,MOBILE_IOS,,2025-06-18T22:39:29.601Z,,2025-06-18T22:39:43.192Z,,65158525,0-18-81695223833,81695223833,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-18T22:39:29.601Z,,,65158525,,,65158525,,2025-06-18T22:39:43.192Z,171746480,
81731554942,,,171746480,,,,I sent a welcome text,"<html>
 <head></head>
 <body>
 I sent a welcome text
 </body>
</html>",false,I sent a welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-19T15:44:42.892Z,MOBILE_IOS,,2025-06-19T15:44:37.414Z,,2025-06-19T15:44:42.892Z,,65158525,0-18-81731554942,81731554942,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-19T15:44:37.414Z,,,65158525,,,65158525,,2025-06-19T15:44:42.892Z,171746480,
81735475874,,,171746480,,,,Sent a welcome text to Andrea,"<html>
 <head></head>
 <body>
 Sent a welcome text to Andrea
 </body>
</html>",false,Sent a welcome text to Andrea,SMS,,,,,,,CRM,65158525,65158525,2025-06-19T15:39:17.002Z,MOBILE_IOS,,2025-06-19T15:39:11.692Z,,2025-06-19T15:39:17.002Z,,65158525,0-18-81735475874,81735475874,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-19T15:39:11.692Z,,,65158525,,,65158525,,2025-06-19T15:39:17.002Z,171746480,
81735510318,,,171746480,,,,Sent Mildred a welcome text,"<html>
 <head></head>
 <body>
 Sent Mildred a welcome text
 </body>
</html>",false,Sent Mildred a welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-19T15:47:21.825Z,MOBILE_IOS,,2025-06-19T15:47:15.628Z,,2025-06-19T15:47:21.825Z,,65158525,0-18-81735510318,81735510318,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-19T15:47:15.628Z,,,65158525,,,65158525,,2025-06-19T15:47:21.825Z,171746480,
82368800691,,,171746480,,,,Sent welcome text,"<html>
 <head></head>
 <body>
 Sent welcome text
 </body>
</html>",false,Sent welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-30T16:18:13.583Z,MOBILE_IOS,,2025-06-30T16:18:05.232Z,,2025-06-30T16:18:13.583Z,,65158525,0-18-82368800691,82368800691,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-30T16:18:05.232Z,,,65158525,,,65158525,,2025-06-30T16:18:13.583Z,171746480,
82368915606,,,171746480,,,,Sent text with website link,"<html>
 <head></head>
 <body>
 Sent text with website link
 </body>
</html>",false,Sent text with website link,SMS,,,,,,,CRM,65158525,65158525,2025-06-30T16:42:27.950Z,MOBILE_IOS,,2025-06-30T16:42:19.385Z,,2025-06-30T16:42:27.950Z,,65158525,0-18-82368915606,82368915606,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-30T16:42:19.385Z,,,65158525,,,65158525,,2025-06-30T16:42:27.950Z,171746480,
82369430626,,,171746480,,,,Sent welcome text,"<html>
 <head></head>
 <body>
 Sent welcome text
 </body>
</html>",false,Sent welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-30T16:20:40.506Z,MOBILE_IOS,,2025-06-30T16:20:32.869Z,,2025-06-30T16:20:40.506Z,,65158525,0-18-82369430626,82369430626,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-30T16:20:32.869Z,,,65158525,,,65158525,,2025-06-30T16:20:40.506Z,171746480,
82369455005,,,171746480,,,,Sent welcome message,"<html>
 <head></head>
 <body>
 Sent welcome message
 </body>
</html>",false,Sent welcome message,SMS,,,,,,,CRM,65158525,65158525,2025-06-30T16:25:54.776Z,MOBILE_IOS,,2025-06-30T16:25:48.347Z,,2025-06-30T16:25:54.776Z,,65158525,0-18-82369455005,82369455005,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-30T16:25:48.347Z,,,65158525,,,65158525,,2025-06-30T16:25:54.776Z,171746480,
82369468441,,,171746480,,,,Sent welcome text,"<html>
 <head></head>
 <body>
 Sent welcome text
 </body>
</html>",false,Sent welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-30T16:28:41.514Z,MOBILE_IOS,,2025-06-30T16:28:35.298Z,,2025-06-30T16:28:41.514Z,,65158525,0-18-82369468441,82369468441,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-30T16:28:35.298Z,,,65158525,,,65158525,,2025-06-30T16:28:41.514Z,171746480,
82369479476,,,171746480,,,,Sent welcome text,"<html>
 <head></head>
 <body>
 Sent welcome text
 </body>
</html>",false,Sent welcome text,SMS,,,,,,,CRM,65158525,65158525,2025-06-30T16:31:04.246Z,MOBILE_IOS,,2025-06-30T16:30:57.183Z,,2025-06-30T16:31:04.246Z,,65158525,0-18-82369479476,82369479476,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-06-30T16:30:57.183Z,,,65158525,,,65158525,,2025-06-30T16:31:04.246Z,171746480,
82697079868,,,171746480,,,,Sent a text for 345 3 bed 1 1/2 wides,"<html>
 <head></head>
 <body>
 Sent a text for 345 3 bed 1 1/2 wides
 </body>
</html>",false,Sent a text for 345 3 bed 1 1/2 wides,SMS,,,,,,,CRM,65158525,65158525,2025-07-05T17:18:46.421Z,MOBILE_IOS,,2025-07-05T17:18:30.588Z,,2025-07-05T17:18:46.421Z,,65158525,0-18-82697079868,82697079868,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-07-05T17:18:30.588Z,,,65158525,,,65158525,,2025-07-05T17:18:46.421Z,171746480,
83215461154,,,171746480,,,,Walk in lead very good one,"<html>
 <head></head>
 <body>
 Walk in lead very good one
 </body>
</html>",false,Walk in lead very good one,SMS,,,,,,,CRM,65158525,65158525,2025-07-12T19:46:55.137Z,MOBILE_IOS,,2025-07-12T19:46:42.104Z,,2025-07-12T19:46:55.137Z,,65158525,0-18-83215461154,83215461154,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-07-12T19:46:42.104Z,,,65158525,,,65158525,,2025-07-12T19:46:55.137Z,171746480,
83743389031,,,171746480,,,,Text as didn’t answer,"<html>
 <head></head>
 <body>
 Text as didn’t answer
 </body>
</html>",false,Text as didn’t answer ,SMS,,,,,,,CRM,65158525,65158525,2025-07-18T23:26:39.360Z,MOBILE_IOS,,2025-07-18T23:26:29.644Z,,2025-07-18T23:26:39.360Z,,65158525,0-18-83743389031,83743389031,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-07-18T23:26:29.644Z,,,65158525,,,65158525,,2025-07-18T23:26:39.360Z,171746480,
84340608872,,,171746480,,,,Text to confirm visit,"<html>
 <head></head>
 <body>
 Text to confirm visit
 </body>
</html>",false,Text to confirm visit ,SMS,,,,,,,CRM,65158525,65158525,2025-07-26T18:41:19.858Z,MOBILE_IOS,,2025-07-26T18:41:10.874Z,,2025-07-26T18:41:19.858Z,,65158525,0-18-84340608872,84340608872,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-07-26T18:41:10.874Z,,,65158525,,,65158525,,2025-07-26T18:41:19.858Z,171746480,
84377459049,,,171746480,,,,"Linked 538, need the wife to come back and view later in the week","<html>
 <head></head>
 <body>
 Linked 538, need the wife to come back and view later in the week
 </body>
</html>",false,"Linked 538, need the wife to come back and view later in the week",SMS,,,,,,,CRM,65158525,65158525,2025-07-27T18:58:40.115Z,MOBILE_IOS,,2025-07-27T18:57:54.858Z,,2025-07-27T18:58:40.115Z,,65158525,0-18-84377459049,84377459049,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2025-07-27T18:57:54.858Z,,,65158525,,,65158525,,2025-07-27T18:58:40.115Z,171746480,
